zip,state,latitude,longitude,No_requests
48067,MI,42.488735,-83.13752,6
70072,LA,29.869283,-90.10933,1
55117,MN,44.989065,-93.10666,9
02460,MA,42.352996,-71.20907,3
55455,MN,44.971965,-93.23588,16
06810,CT,41.390194,-73.45441,3
11413,NY,40.670138,-73.75141,1
61614,IL,40.755343,-89.59799,2
95370,CA,37.995238,-120.3437,2
04093,ME,43.660386,-70.57492,1
93304,CA,35.344209,-119.02225,1
60126,IL,41.89103,-87.94181,2
22903,VA,38.026342,-78.5348,18
20670,MD,38.268636,-76.42383,1
95350,CA,37.671778,-121.01249,1
95825,CA,38.594205,-121.40726,2
48073,MI,42.518635,-83.16357,7
55113,MN,45.011215,-93.15536,11
99353,WA,46.297139,-119.35457,2
53706,WI,43.074296,-89.40774,9
90049,CA,34.067409,-118.47528,3
10023,NY,40.776099,-73.98285,10
01609,MA,42.271743,-71.81348,3
23112,VA,37.427988,-77.64868,2
19130,PA,39.968262,-75.17222,2
14607,NY,43.149863,-77.58962,4
33407,FL,26.750991,-80.07296,1
19143,PA,39.944162,-75.22718,3
06840,CT,41.150146,-73.49178,1
19355,PA,40.042957,-75.53221,1
55421,MN,45.050434,-93.25007,9
02135,MA,42.348418,-71.15349,8
02482,MA,42.300096,-71.30336,1
94123,CA,37.801028,-122.43836,3
66212,KS,38.959606,-94.68189,2
02215,MA,42.346997,-71.10215,6
61820,IL,40.114931,-88.24322,4
10543,NY,40.952892,-73.7346,4
15116,PA,40.533806,-79.96303,2
24502,VA,37.362109,-79.21525,1
60614,IL,41.922682,-87.65432,8
98052,WA,47.677471,-122.12138,3
94110,CA,37.74873,-122.41545,17
75602,TX,32.474499,-94.712,2
94305,CA,37.427039,-122.16496,4
92107,CA,32.7409,-117.24434,1
77084,TX,29.839155,-95.66391,1
98133,WA,47.733852,-122.34461,4
10562,NY,41.176837,-73.84741,3
72212,AR,34.783505,-92.40807,2
56723,MN,47.826487,-96.83308,1
55303,MN,45.247509,-93.418,5
60440,IL,41.703097,-88.07462,1
30350,GA,33.97285,-84.32775,2
30303,GA,33.752856,-84.39013,3
55413,MN,44.997665,-93.24927,3
72118,AR,34.813269,-92.30229,2
95122,CA,37.329641,-121.83359,1
98105,WA,47.66377,-122.30118,8
54902,WI,43.988616,-88.54699,2
55803,MN,46.972432,-92.10105,2
57706,SD,44.144225,-103.08527,1
60181,IL,41.880429,-87.97813,1
02143,MA,42.381929,-71.09908,10
53703,WI,43.078646,-89.37727,6
95008,CA,37.278843,-121.95446,7
55122,MN,44.804548,-93.19871,5
94530,CA,37.917774,-122.30426,7
01748,MA,42.220447,-71.53418,1
15321,PA,40.322872,-80.18745,1
98029,WA,47.572401,-122.02065,2
98103,WA,47.671346,-122.34166,14
49327,MI,43.34022,-85.82566,1
60640,IL,41.973181,-87.6665,13
48380,MI,42.586597,-83.66826,1
94609,CA,37.834926,-122.264,1
53140,WI,42.60217,-87.82979,1
94945,CA,38.117065,-122.56316,2
54467,WI,44.452277,-89.54399,1
48360,MI,42.74628,-83.2612,1
02476,MA,42.416745,-71.17761,2
85749,AZ,32.299275,-110.74419,2
07650,NJ,40.845742,-73.99479,2
44243,OH,41.146862,-81.3388,1
28601,NC,35.759932,-81.33012,2
98201,WA,47.986274,-122.20222,3
78028,TX,30.042529,-99.15152,1
66210,KS,38.924739,-94.70473,1
33547,FL,27.788498,-82.1508,1
19390,PA,39.820841,-75.84233,1
95401,CA,38.440111,-122.74563,2
33314,FL,26.067966,-80.22016,4
20871,MD,39.262598,-77.29125,1
92104,CA,32.742892,-117.12774,3
00926,PR,18.361363,-66.0562,1
90277,CA,33.828815,-118.38322,1
79101,TX,35.206402,-101.83924,1
63129,MO,38.469953,-90.32161,1
30316,GA,33.729506,-84.34087,1
92028,CA,33.380359,-117.20605,1
90803,CA,33.761117,-118.12986,3
55416,MN,44.946664,-93.34215,3
97209,OR,45.52889,-122.68458,2
